zip,donations,total,total_population,donations_per_1000
21802,194,2387.96,98,1979.5918367346937
21803,82,1374.16,NA,NA
21804,7964,177007.2200000002,39842,199.88956377691883
21805,3,225,NA,NA
21806,1,25,NA,NA
21808,11,149,NA,NA
21810,3,90,656,4.573170731707317
21811,9781,276675.0200000005,24356,401.58482509443263
21812,5,255,NA,NA
21813,1012,18157.769999999997,2636,383.91502276176027
21814,274,5105.589999999998,274,1000
21816,2,125,NA,NA
21817,312,6336.919999999993,4247,73.4636213797975
21818,1,100,NA,NA
21820,3,43,NA,NA
21821,155,2020.3400000000001,834,185.85131894484414
21822,632,12221.479999999998,1527,413.88343156516044
21823,1,150,NA,NA
21824,16,166,181,88.39779005524862
21826,717,10358.839999999998,5317,134.85047959375586
21829,17,435,397,42.821158690176325
21830,383,9341.890000000001,4790,79.95824634655533
21835,19,79,207,91.78743961352657
21837,509,5382.609999999997,3322,153.22095123419626
21838,55,1579,1805,30.470914127423825
21840,59,936.9400000000002,353,167.1388101983003
21841,349,6055.21,1455,239.86254295532646
21842,2437,52256.51999999999,10525,231.54394299287412
21843,469,5810.200000000001,NA,NA
21849,541,11445.820000000002,3659,147.8546050833561
21850,110,1634.26,3442,31.958163858221962
21851,810,13798.000000000004,7237,111.92483073096588
21852,1,20,NA,NA
21853,555,8938.869999999994,11437,48.52671155023171
21854,1,10,NA,NA
21855,1,50,NA,NA
21856,221,2715.48,957,230.9299895506792
21858,6,98.28,NA,NA
21861,42,1238.1599999999999,687,61.135371179039296
21862,2,20,86,23.25581395348837
21863,778,15254.77,4578,169.94320664045435
21864,59,2239.66,643,91.75738724727839
21865,284,5664.640000000003,433,655.8891454965358
21867,3,104,23,130.43478260869566
21869,178,1823.8399999999983,1155,154.1125541125541
21871,135,2733.2100000000005,2031,66.46971935007386
21872,51,683.82,585,87.17948717948717
21873,1,30,NA,NA
21874,139,1668.7499999999998,1917,72.50912884715702
21875,853,14828.73,7084,120.41219649915303
21876,1,20,NA,NA
21877,4,41,NA,NA
21893,2,55,NA,NA
21894,4,96,NA,NA
21898,5,85,NA,NA
2190,8,536.65,NA,NA
21901,2086,51409.42999999997,17694,117.89307109754719
21902,44,410,262,167.93893129770993
21903,1147,15152.060000000001,5794,197.96341042457715
21904,1461,27753.210000000003,6484,225.32387415175816
21905,4,139,NA,NA
21908,1,10,NA,NA
21911,1120,18688.95999999996,11103,100.87363775556156
21912,119,4150.6,1520,78.28947368421052
21913,93,2956.27,901,103.21864594894562
21914,114,2967.6400000000003,804,141.7910447761194
21915,792,16423.720000000012,2739,289.1566265060241
21916,23,382,47,489.36170212765956
21917,167,6169.52,2017,82.796232027764
21918,604,11263.310000000001,4321,139.7824577644064
21919,995,19727.170000000002,2905,342.512908777969
21920,16,331,953,16.7890870933893
21921,6975,152703.25000000017,45225,154.22885572139302
21922,46,5898,NA,NA
21925,1,100,NA,NA
21928,2,50,NA,NA
21929,1,100,NA,NA
21930,55,2363,120,458.3333333333333
21937,1,50,NA,NA
21942,25,561.24,NA,NA
21943,5,160,NA,NA
21944,16,374,NA,NA
21945,1,35,NA,NA
21946,1,50,NA,NA
21947,3,105,NA,NA
21950,2,110,NA,NA
21953,2,12,NA,NA
21965,21,280,NA,NA
21975,5,163,NA,NA
21991,2,12,NA,NA
21993,19,221,NA,NA
22001,2,11,NA,NA
22014,2,55,NA,NA
22017,1,10,NA,NA
22027,2,250,2427,0.8240626287597858
22042,41,200,36744,1.1158284345743523
22043,10,140,25012,0.39980809211578444
22044,23,467,14078,1.6337547947151583
22045,14,183,NA,NA
22046,5,440,18639,0.26825473469606737
22047,161,7081,NA,NA
22050,1,25,NA,NA
22057,16,250.72000000000003,NA,NA
22061,2,28,NA,NA
22066,1,100,17393,0.05749439429655609
22075,3,63,NA,NA
22076,2,55,NA,NA
22078,20,660,NA,NA
22085,1,13.43,NA,NA
2209,1,20,NA,NA
22093,6,266,NA,NA
22104,2,220,NA,NA
22113,1,3,NA,NA
22114,13,13,NA,NA
22117,1,10,NA,NA
22122,21,920,NA,NA
22124,2,13,18377,0.10883169178864885
22133,22,177.86,NA,NA
22146,5,150,NA,NA
22150,1,10,29585,0.03380091262464086
22157,1,25,NA,NA
22192,1,10,59670,0.016758840288252055
22204,1,47,53855,0.01856837805217714
22205,2,29,18570,0.10770059235325795
22207,2,88.25999999999999,34113,0.058628675285081935
22208,4,125,NA,NA
22209,17,303.0399999999999,13172,1.2906164591557852
22213,3,12,4168,0.7197696737044146
22216,3,60,NA,NA
22218,1,50,NA,NA
22220,3,35,NA,NA
22228,4,69,NA,NA
22234,3,40,NA,NA
22237,1,5,NA,NA
22244,2,150,NA,NA
22286,1,25,NA,NA
22303,5,236.17000000000002,14688,0.3404139433551198
22304,3,60,49262,0.060898867281068574
22306,7,150.72,34391,0.2035416242621616
22307,2,3000,10286,0.19443904335990667
22310,9,95,32329,0.27838782517244576
22311,3,505,18890,0.15881418740074113
22314,3,62,35208,0.08520790729379686
22315,3,17,29634,0.10123506782749545
22324,1,500,NA,NA
22401,20,409,29059,0.6882549296259334
22402,15,455,NA,NA
22403,18,638,NA,NA
22407,2,7,59551,0.033584658527984416
22502,18,571,NA,NA
22550,5,20,NA,NA
22551,2,55,20218,0.09892175289346128
22554,2,29,57488,0.034789869190091846
22601,14,226,29192,0.4795834475198684
22602,2,29.64,30665,0.06522093592043046
22613,5,155,NA,NA
22617,21,179,NA,NA
22651,1,3,NA,NA
22654,2,1000,833,2.4009603841536613
22658,13,130,NA,NA
22661,2,12,NA,NA
22663,5,35,690,7.246376811594203
22701,1,10,34793,0.028741413502716064
22702,7,435,NA,NA
22703,16,194,NA,NA
22704,6,118,NA,NA
22714,1,250,1027,0.9737098344693281
22738,8,193,1394,5.738880918220947
22740,1,48.26,922,1.0845986984815619
22745,1,15,NA,NA
22750,1,250,NA,NA
22769,9,163.5,NA,NA
22770,1,20,NA,NA
22771,82,1133.18,NA,NA
22774,2,75,NA,NA
22787,3,175,NA,NA
22791,4,60,NA,NA
22793,3,50,NA,NA
22801,5,275,40284,0.12411875682653162
22804,8,160,NA,NA
22807,2,1100,3345,0.5979073243647235
22811,10,500,512,19.53125
22815,1,15,8915,0.11217049915872125
22817,7,17200,NA,NA
22842,1,20,5572,0.17946877243359657
22875,1,50,NA,NA
22910,33,12299,NA,NA
22913,13,457,NA,NA
22915,6,330,NA,NA
